Name,District,Current_Tasks,Free_Time_Slots,Languages_Spoken,Work_Specialization,Distance_from_Client_km,Latitude,Longitude,Experience_Years,License_Type,Insurance_Status,Vehicle_Type,Response_Time_Minutes,Availability_Status,Specialization_Level,Equipment_Available,Payment_Methods,Working_Hours,Weekend_Available,Emergency_Service,Guarantee_Period_Days,Min_Order_Value,Max_Distance_km,Rating,Total_Jobs,Success_Rate,Specializations_Detailed,Languages_Detailed,Equipment_List,Service_Areas,Certifications,Membership_Status,Response_Priority
Plumber_11,Patan,"Water Tank Cleaning, Kitchen Plumbing","11AM-1PM, 3PM-5PM, 5PM-7PM",Marathi,Kitchen Plumbing,29.6,23.8506,72.1261,8,Licensed,Insured,Car,18,Available,Intermediate,"Standard Kitchen Tools",Cash/UPI,8AM-7PM,Yes,Yes,30,400,50,4.1,145,92,"Kitchen Plumbing, Water Tank Cleaning, Bathroom Fitting","Marathi, Hindi, Gujarati","Standard Kitchen Tools, Sink Tools, Faucet Equipment","Patan, Mehsana, Gandhinagar",Plumbing License,Gold,Medium
Plumber_12,Vadodara,Kitchen Plumbing,"1PM-3PM, 11AM-1PM","Marathi, English",Kitchen Plumbing,48.8,22.3039,73.1812,13,Licensed,Insured,Van,25,Available,Expert,"Professional Kitchen Equipment",Cash/Card/UPI,6AM-10PM,Yes,Yes,75,550,75,4.6,367,97,"Kitchen Plumbing, Commercial Kitchen Setup, Industrial Plumbing","Marathi, English, Hindi, Gujarati","Professional Kitchen Equipment, Commercial Grade Tools, Industrial Equipment","Vadodara, Anand, Ahmedabad",Master Plumber License,Platinum,High
Plumber_13,Amreli,"Water Tank Cleaning, Bathroom Fitting, Leak Repair","9AM-11AM, 11AM-1PM, 1PM-3PM","Gujarati, Hindi, English",Water Tank Cleaning,42.0,22.5726,72.9505,7,Licensed,Insured,Motorcycle,20,Available,Intermediate,"Cleaning Equipment, Basic Tools",Cash/UPI,8AM-6PM,No,Yes,25,350,45,3.8,112,90,"Water Tank Cleaning, Bathroom Fitting, Leak Repair","Gujarati, Hindi, English, Marathi","Cleaning Equipment, Basic Tools, Water Testing Kits","Amreli, Rajkot, Junagadh",Plumbing License,Silver,Medium
Plumber_14,Anand,Bathroom Fitting,"11AM-1PM, 3PM-5PM, 5PM-7PM","Hindi, English",Leak Repair,41.3,22.5726,72.9505,5,Licensed,Insured,Car,22,Available,Intermediate,"Standard Tools, Leak Equipment",Cash/UPI,9AM-6PM,Yes,Yes,20,300,40,3.7,87,88,"Leak Repair, Bathroom Fitting, Pipe Installation","Hindi, English, Gujarati","Standard Tools, Leak Equipment, Pressure Testers","Anand, Vadodara, Ahmedabad",Plumbing License,Silver,Medium
Plumber_15,Anand,"Water Tank Cleaning, Kitchen Plumbing, Bathroom Fitting","1PM-3PM, 3PM-5PM","Marathi, English",Leak Repair,16.4,22.5726,72.9505,9,Licensed,Insured,Van,12,Available,Expert,"Complete Tool Set, Advanced Equipment",Cash/Card/UPI,7AM-8PM,Yes,Yes,45,450,55,4.2,178,94,"Leak Repair, Water Tank Cleaning, Kitchen Plumbing, Bathroom Fitting","Marathi, English, Hindi, Gujarati","Complete Tool Set, Advanced Equipment, Professional Tools","Anand, Vadodara, Ahmedabad",Advanced Plumbing License,Gold,High
Plumber_16,Patan,Pipe Installation,"9AM-11AM, 5PM-7PM, 1PM-3PM","Marathi, English",Kitchen Plumbing,16.6,23.8506,72.1261,6,Licensed,Insured,Motorcycle,14,Available,Intermediate,"Pipe Tools, Kitchen Equipment",Cash/UPI,8AM-6PM,No,Yes,25,350,35,3.9,103,91,"Kitchen Plumbing, Pipe Installation, Bathroom Fitting","Marathi, English, Gujarati","Pipe Tools, Kitchen Equipment, Installation Tools","Patan, Mehsana, Gandhinagar",Plumbing License,Silver,Medium
Plumber_17,Rajkot,Leak Repair,"5PM-7PM, 11AM-1PM",Hindi,Bathroom Fitting,48.1,22.3039,73.1812,10,Licensed,Insured,Car,24,Available,Expert,"Leak Detection Equipment, Professional Tools",Cash/Card/UPI,8AM-8PM,Yes,Yes,50,500,60,4.3,201,95,"Bathroom Fitting, Leak Repair, Pipe Installation, Commercial Plumbing","Hindi, Gujarati, English, Marathi","Leak Detection Equipment, Professional Tools, Commercial Equipment","Rajkot, Surendranagar, Jamnagar",Commercial Plumbing License,Gold,High
Plumber_18,Gandhinagar,Leak Repair,1PM-3PM,"Marathi, Gujarati, English",Kitchen Plumbing,46.3,23.2185,72.6348,8,Licensed,Insured,Van,20,Available,Intermediate,"Standard Tools, Leak Equipment",Cash/UPI,9AM-6PM,Yes,Yes,30,400,50,4.0,134,92,"Kitchen Plumbing, Leak Repair, Bathroom Fitting","Marathi, Gujarati, English, Hindi","Standard Tools, Leak Equipment, Kitchen Tools","Gandhinagar, Ahmedabad, Patan",Plumbing License,Gold,Medium
Plumber_19,Patan,"Water Tank Cleaning, Leak Repair, Pipe Installation",9AM-11AM,"Marathi, Hindi",Bathroom Fitting,11.0,23.8506,72.1261,7,Licensed,Insured,Motorcycle,10,Available,Intermediate,"Cleaning Tools, Leak Equipment, Pipe Tools",Cash/UPI,8AM-6PM,No,Yes,25,350,30,3.8,119,90,"Bathroom Fitting, Water Tank Cleaning, Leak Repair, Pipe Installation","Marathi, Hindi, Gujarati","Cleaning Tools, Leak Equipment, Pipe Tools, Installation Equipment","Patan, Mehsana, Gandhinagar",Plumbing License,Silver,Medium
Plumber_20,Rajkot,Pipe Installation,"1PM-3PM, 9AM-11AM","English, Gujarati, Marathi",Pipe Installation,49.8,22.3039,73.1812,14,Licensed,Insured,Van,26,Available,Expert,"Professional Installation Equipment",Cash/Card/UPI,6AM-10PM,Yes,Yes,80,600,80,4.7,423,98,"Pipe Installation, Industrial Plumbing, Commercial Setup","English, Gujarati, Marathi, Hindi","Professional Installation Equipment, Industrial Tools, Commercial Equipment","Rajkot, Surendranagar, Jamnagar, Ahmedabad",Master Plumber License,Platinum,High 
